name,sku,price,comparePrice,description,shortDescription,brand,status,quantity,condition,category,isFeatured,imageUrl
Wireless Bluetooth Headphones,ELEC-001,79.99,99.99,"Premium over-ear wireless headphones with active noise cancellation, 30-hour battery life, and built-in microphone for calls.",Wireless ANC headphones with 30hr battery,Sony,ACTIVE,150,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Wireless%20Bluetooth
Mechanical Gaming Keyboard,ELEC-002,129.99,,"RGB backlit mechanical keyboard with Cherry MX Blue switches, programmable macro keys, and detachable wrist rest.",RGB mechanical keyboard with Cherry MX switches,Corsair,ACTIVE,85,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Mechanical%20Gaming
USB-C Hub Adapter 7-in-1,ELEC-003,34.99,49.99,"Compact USB-C hub with HDMI 4K output, 3x USB 3.0, SD card reader, and 100W pass-through charging.",7-in-1 USB-C hub with HDMI and USB 3.0,Anker,ACTIVE,200,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=USB-C%20Hub
27-Inch 4K Monitor,ELEC-004,349.99,,"27-inch IPS display with 4K UHD resolution, HDR10, 99% sRGB color accuracy, and adjustable stand.",27-inch 4K IPS monitor with HDR10,Dell,ACTIVE,40,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=27-Inch%204K
Portable Bluetooth Speaker,ELEC-005,49.99,69.99,"Waterproof portable speaker with 360-degree sound, 12-hour battery, and built-in speakerphone.",Waterproof Bluetooth speaker with 12hr battery,JBL,ACTIVE,180,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Portable%20Bluetooth
Wireless Charging Pad,ELEC-006,24.99,,"Fast wireless charging pad compatible with Qi-enabled devices, LED indicator, and anti-slip surface.",Qi wireless fast charging pad,Belkin,ACTIVE,300,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Wireless%20Charging
Smart Home Security Camera,ELEC-007,89.99,119.99,"1080p indoor security camera with night vision, two-way audio, motion detection, and cloud storage.",1080p smart security camera with night vision,Ring,ACTIVE,95,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Smart%20Home
Ergonomic Wireless Mouse,ELEC-008,59.99,,"Vertical ergonomic mouse with adjustable DPI, silent clicks, and Bluetooth/USB dual connectivity.",Ergonomic vertical wireless mouse,Logitech,ACTIVE,120,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=Ergonomic%20Wireless
Noise Cancelling Earbuds,ELEC-009,149.99,179.99,"True wireless earbuds with adaptive noise cancellation, spatial audio, and 24-hour total battery life.",ANC true wireless earbuds with spatial audio,Apple,ACTIVE,200,new,electronics,true,https://placehold.co/600x600/e2e8f0/64748b?text=Noise%20Cancelling
External SSD 1TB,ELEC-010,89.99,,"Portable solid state drive with USB 3.2 Gen 2, read speeds up to 1050MB/s, and shock-resistant design.",1TB portable SSD with USB 3.2,Samsung,ACTIVE,110,new,electronics,false,https://placehold.co/600x600/e2e8f0/64748b?text=External%20SSD
